id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
17003695,2017-02-09 09:59:00,BREAK-Traffic Break,37.259742,-121.858617,33.0,400842,0.24281343239792244
17003796,2017-02-09 10:58:00,1183-Trfc Collision-Unkn Inj,37.420148,-121.940654,64.0,401014,0.16618761194759538
17003811,2017-02-09 11:07:00,1183-Trfc Collision-Unkn Inj,37.317202,-121.94032,41.0,407711,0.13213518512889452
17004006,2017-02-09 12:32:00,1125-Traffic Hazard,37.334417,-122.069112,8.0,401845,0.9615269333197268
17004021,2017-02-09 12:35:00,1125-Traffic Hazard,37.419004,-121.961129,54.0,400567,0.18798671749151147
17004102,2017-02-09 13:03:00,1125-Traffic Hazard,37.378154,-121.903545,25.0,402121,0.24219009594933721
17004158,2017-02-09 13:28:00,1125-Traffic Hazard,37.374689,-121.932211,28.0,400760,0.12849452243904846
17004160,2017-02-09 13:25:00,1183-Trfc Collision-Unkn Inj,37.391582,-121.870387,14.0,407155,0.007755715440494341
17004195,2017-02-09 13:41:00,1125-Traffic Hazard,37.389715,-121.991397,16.0,400794,0.26910598806041247
17004204,2017-02-09 13:46:00,1183-Trfc Collision-Unkn Inj,37.378128,-122.067512,12.0,407328,0.10117581499990388
17004219,2017-02-09 13:50:00,1183-Trfc Collision-Unkn Inj,37.348045,-122.059783,20.0,407341,0.36985681374422097
17004232,2017-02-09 13:54:00,1125-Traffic Hazard,37.316752,-121.922068,43.0,403419,0.057740915440698586
17004233,2017-02-09 13:53:00,1125-Traffic Hazard,37.316752,-121.922068,26.0,403419,0.057740915440698586
17004280,2017-02-09 14:16:00,1182-Trfc Collision-No Inj,37.348045,-122.059783,2.0,407341,0.36985681374422097
17004291,2017-02-09 14:23:00,1125-Traffic Hazard,37.271994,-121.947281,28.0,400436,0.04352912800701309
17004293,2017-02-09 14:21:00,1183-Trfc Collision-Unkn Inj,37.318462,-121.990017,42.0,400429,0.36644137998861404
17004295,2017-02-09 14:18:00,1125-Traffic Hazard,37.317339,-121.940817,24.0,407711,0.08062826371114103
17004363,2017-02-09 14:54:00,1183-Trfc Collision-Unkn Inj,37.327743,-121.878188,34.0,400799,0.22857530640193982
17004366,2017-02-09 14:50:00,1183-Trfc Collision-Unkn Inj,37.327743,-121.878188,5.0,400799,0.22857530640193982
17004409,2017-02-09 15:09:00,1183-Trfc Collision-Unkn Inj,37.316435,-121.9683,34.0,400292,0.4165200567962234
17004410,2017-02-09 15:06:00,1183-Trfc Collision-Unkn Inj,37.316435,-121.9683,15.0,400292,0.4165200567962234
17004462,2017-02-09 14:26:00,1182-Trfc Collision-No Inj,37.31808,-121.978094,62.0,400414,0.08934589891556509
17004500,2017-02-09 15:44:00,1182-Trfc Collision-No Inj,37.421143,-122.092497,9.0,401507,1.7181097628844675
17004501,2017-02-09 15:43:00,1182-Trfc Collision-No Inj,37.421143,-122.092497,0.0,401507,1.7181097628844675
17004502,2017-02-09 15:40:00,1182-Trfc Collision-No Inj,37.36097,-122.062814,0.0,407361,0.2381624701603231
17004564,2017-02-09 16:01:00,1183-Trfc Collision-Unkn Inj,37.337486,-122.059483,16.0,407373,0.030440118347990507
17004626,2017-02-09 16:26:00,1125-Traffic Hazard,37.317268,-121.939301,2.0,407710,0.06024192016328301
17004627,2017-02-09 16:25:00,1183-Trfc Collision-Unkn Inj,37.314914,-121.910577,0.0,414694,0.32447654344992305
17004628,2017-02-09 16:24:00,1183-Trfc Collision-Unkn Inj,37.314914,-121.910577,35.0,414694,0.32447654344992305
17004656,2017-02-09 16:39:00,1179-Trfc Collision-1141 Enrt,37.367433,-121.900983,15.0,400971,0.14268163828956779
17004686,2017-02-09 16:47:00,1183-Trfc Collision-Unkn Inj,37.324492,-121.889529,18.0,413878,0.10410811840021823
17004687,2017-02-09 16:46:00,1183-Trfc Collision-Unkn Inj,37.324492,-121.889529,196.0,413878,0.10410811840021823
17004713,2017-02-09 16:52:00,1125-Traffic Hazard,37.29841,-121.940389,74.0,404370,0.29895852778051735
17004749,2017-02-09 17:09:00,20002-Hit and Run No Injuries,37.410833,-122.075806,9.0,401937,0.12633657991639577
17004782,2017-02-09 17:23:00,1125-Traffic Hazard,37.417654,-121.973329,77.0,400096,0.09408538363107881
17004786,2017-02-09 17:17:00,1125-Traffic Hazard,37.417654,-121.973329,92.0,400096,0.09408538363107881
17004796,2017-02-09 17:26:00,FLOOD-Roadway Flooding,37.332733,-121.897006,36.0,402057,0.4118155798818567
17004856,2017-02-09 17:44:00,1182-Trfc Collision-No Inj,37.364038,-121.901977,8.0,400045,0.07610035658233187
17004915,2017-02-09 18:05:00,1182-Trfc Collision-No Inj,37.250366,-121.926571,21.0,400772,0.1839303493961189
17004968,2017-02-09 18:28:00,1125-Traffic Hazard,37.316342,-121.956806,23.0,400714,0.36897027792463327
17005000,2017-02-09 18:43:00,1125-Traffic Hazard,37.317282,-121.936402,10.0,407710,0.2661272165904406
17005002,2017-02-09 18:39:00,1125-Traffic Hazard,37.292202,-121.93737,9.0,400298,0.10847977242750202
17005034,2017-02-09 18:57:00,1182-Trfc Collision-No Inj,37.395264,-122.068669,0.0,407374,0.016881490751558894
17005068,2017-02-09 19:11:00,1125-Traffic Hazard,37.327992,-121.940876,80.0,408911,0.3151346496501315
17005071,2017-02-09 19:03:00,1183-Trfc Collision-Unkn Inj,37.322017,-121.890878,29.0,400916,0.18981950941085216
17005088,2017-02-09 19:14:00,1125-Traffic Hazard,37.392278,-121.999993,56.0,400790,0.21631596157558222
17005089,2017-02-09 19:12:00,1183-Trfc Collision-Unkn Inj,37.316435,-121.9683,49.0,400292,0.4165200567962234
17005113,2017-02-09 19:32:00,1182-Trfc Collision-No Inj,37.329685,-121.867957,6.0,403402,0.3328361606941657
17005156,2017-02-09 19:48:00,1179-Trfc Collision-1141 Enrt,37.396166,-121.907568,76.0,402285,0.28893792523667056
17005198,2017-02-09 20:10:00,1183-Trfc Collision-Unkn Inj,37.38472,-122.068226,33.0,407348,0.05374108302788673
17005220,2017-02-09 20:25:00,1183-Trfc Collision-Unkn Inj,37.315018,-121.909068,23.0,414694,0.49163264611922536
17005369,2017-02-09 22:05:00,MZP-Assist CT with Maintenance,37.362804,-121.843058,1.0,407202,0.28077025985134296
17005440,2017-02-09 23:18:00,1183-Trfc Collision-Unkn Inj,37.374689,-121.932211,21.0,400760,0.12849452243904846
17005503,2017-02-10 00:20:00,1125-Traffic Hazard,37.408367,-122.068737,20.0,407332,0.1490204248312152
